cropped_image_file,label
maksssksksss680-3125.png,with_mask
maksssksksss444-1812.png,with_mask
maksssksksss52-2238.png,with_mask
maksssksksss333-1282.png,with_mask
maksssksksss110-72.png,without_mask
maksssksksss358-1385.png,with_mask
maksssksksss431-1764.png,with_mask
maksssksksss578-2579.png,with_mask
maksssksksss800-3776.png,with_mask
maksssksksss303-1143.png,with_mask
maksssksksss807-3821.png,with_mask
maksssksksss263-915.png,without_mask
maksssksksss603-2739.png,with_mask
maksssksksss34-1309.png,with_mask
maksssksksss621-2851.png,with_mask
maksssksksss694-3190.png,with_mask
maksssksksss848-3971.png,with_mask
maksssksksss719-3371.png,with_mask
maksssksksss137-200.png,without_mask
maksssksksss240-670.png,without_mask
maksssksksss260-864.png,with_mask
maksssksksss373-1454.png,with_mask
maksssksksss21-519.png,with_mask
maksssksksss691-3180.png,with_mask
maksssksksss530-2322.png,without_mask
maksssksksss551-2432.png,with_mask
maksssksksss755-3557.png,with_mask
maksssksksss33-1261.png,with_mask
maksssksksss325-1234.png,with_mask
maksssksksss387-1516.png,mask_incorrectly_worn
maksssksksss431-1769.png,with_mask
maksssksksss34-1306.png,without_mask
maksssksksss390-1555.png,with_mask
maksssksksss373-1455.png,with_mask
maksssksksss453-1878.png,without_mask
maksssksksss631-2909.png,with_mask
maksssksksss594-2640.png,with_mask
maksssksksss566-2520.png,with_mask
maksssksksss126-164.png,without_mask
maksssksksss222-569.png,with_mask
maksssksksss245-735.png,with_mask
maksssksksss487-2020.png,with_mask
maksssksksss691-3185.png,with_mask
maksssksksss603-2758.png,with_mask
maksssksksss467-1943.png,mask_incorrectly_worn
maksssksksss168-361.png,without_mask
maksssksksss435-1774.png,with_mask
maksssksksss282-1003.png,with_mask
maksssksksss438-1787.png,with_mask
maksssksksss545-2419.png,without_mask
maksssksksss176-389.png,without_mask
maksssksksss695-3195.png,with_mask
maksssksksss486-2014.png,with_mask
maksssksksss809-3829.png,with_mask
maksssksksss373-1451.png,with_mask
maksssksksss376-1474.png,with_mask
maksssksksss295-1051.png,with_mask
maksssksksss735-3445.png,without_mask
maksssksksss41-1619.png,with_mask
maksssksksss450-1841.png,with_mask
maksssksksss12-138.png,with_mask
maksssksksss110-67.png,without_mask
maksssksksss564-2503.png,without_mask
maksssksksss188-427.png,with_mask
maksssksksss467-1940.png,with_mask
maksssksksss694-3193.png,with_mask
maksssksksss183-409.png,without_mask
maksssksksss93-4047.png,with_mask
maksssksksss233-643.png,with_mask
maksssksksss473-1962.png,with_mask
maksssksksss75-3503.png,with_mask
maksssksksss209-507.png,without_mask
maksssksksss662-3045.png,with_mask
maksssksksss424-1705.png,without_mask
maksssksksss471-1956.png,without_mask
maksssksksss124-160.png,without_mask
maksssksksss253-795.png,with_mask
maksssksksss201-461.png,with_mask
maksssksksss844-3948.png,with_mask
maksssksksss104-26.png,with_mask
maksssksksss789-3702.png,with_mask
maksssksksss510-2100.png,with_mask
maksssksksss460-1907.png,without_mask
maksssksksss52-2239.png,with_mask
maksssksksss141-231.png,with_mask
maksssksksss359-1394.png,with_mask
maksssksksss399-1576.png,with_mask
maksssksksss202-475.png,with_mask
maksssksksss260-880.png,with_mask
maksssksksss82-3852.png,with_mask
maksssksksss186-425.png,with_mask
maksssksksss305-1152.png,without_mask
maksssksksss69-3154.png,with_mask
maksssksksss408-1604.png,with_mask
