,cropped_image_file,label,image_width,image_height
0,maksssksksss0-0.png,without_mask,37,30
1,maksssksksss0-1.png,with_mask,44,41
2,maksssksksss0-2.png,without_mask,51,35
3,maksssksksss1-3.png,with_mask,35,33
4,maksssksksss1-4.png,with_mask,35,37
5,maksssksksss1-5.png,with_mask,23,16
6,maksssksksss1-6.png,with_mask,41,31
7,maksssksksss1-7.png,with_mask,30,21
8,maksssksksss1-8.png,with_mask,26,30
9,maksssksksss1-9.png,with_mask,20,23
10,maksssksksss1-10.png,with_mask,29,29
11,maksssksksss1-11.png,without_mask,33,28
12,maksssksksss10-12.png,with_mask,116,96
13,maksssksksss100-13.png,with_mask,58,56
14,maksssksksss100-14.png,with_mask,21,13
15,maksssksksss100-15.png,with_mask,39,45
16,maksssksksss101-16.png,with_mask,106,116
17,maksssksksss102-17.png,with_mask,49,39
18,maksssksksss103-18.png,with_mask,56,52
19,maksssksksss103-19.png,with_mask,60,48
20,maksssksksss103-20.png,with_mask,42,42
21,maksssksksss103-21.png,with_mask,39,32
22,maksssksksss104-22.png,without_mask,31,24
23,maksssksksss104-23.png,without_mask,20,20
24,maksssksksss104-24.png,without_mask,17,16
25,maksssksksss104-25.png,with_mask,44,41
26,maksssksksss104-26.png,with_mask,38,35
27,maksssksksss104-27.png,without_mask,27,27
28,maksssksksss104-28.png,without_mask,11,13
29,maksssksksss104-29.png,without_mask,17,13
30,maksssksksss105-30.png,with_mask,59,35
31,maksssksksss105-31.png,with_mask,42,32
32,maksssksksss105-32.png,with_mask,40,32
33,maksssksksss105-33.png,with_mask,31,25
34,maksssksksss105-34.png,with_mask,31,24
35,maksssksksss105-35.png,with_mask,40,31
36,maksssksksss105-36.png,with_mask,43,32
37,maksssksksss105-37.png,with_mask,63,36
38,maksssksksss105-38.png,with_mask,32,26
39,maksssksksss106-39.png,with_mask,340,269
40,maksssksksss107-40.png,with_mask,120,91
41,maksssksksss108-41.png,with_mask,22,25
42,maksssksksss108-42.png,with_mask,23,22
43,maksssksksss108-43.png,with_mask,14,14
44,maksssksksss108-44.png,with_mask,14,14
45,maksssksksss108-45.png,without_mask,11,11
46,maksssksksss109-46.png,with_mask,159,156
47,maksssksksss11-47.png,mask_incorrectly_worn,58,54
48,maksssksksss11-48.png,with_mask,54,53
49,maksssksksss11-49.png,with_mask,43,29
50,maksssksksss11-50.png,with_mask,55,50
51,maksssksksss11-51.png,with_mask,42,37
52,maksssksksss11-52.png,with_mask,32,27
53,maksssksksss11-53.png,with_mask,29,28
54,maksssksksss11-54.png,with_mask,23,19
55,maksssksksss11-55.png,with_mask,23,23
56,maksssksksss11-56.png,with_mask,17,15
57,maksssksksss11-57.png,with_mask,16,15
58,maksssksksss11-58.png,with_mask,16,15
59,maksssksksss11-59.png,with_mask,12,12
60,maksssksksss11-60.png,with_mask,12,14
61,maksssksksss11-61.png,with_mask,10,14
63,maksssksksss110-63.png,without_mask,37,37
64,maksssksksss110-64.png,without_mask,26,27
65,maksssksksss110-65.png,with_mask,25,22
66,maksssksksss110-66.png,with_mask,23,23
67,maksssksksss110-67.png,without_mask,29,28
68,maksssksksss110-68.png,without_mask,20,18
69,maksssksksss110-69.png,without_mask,34,34
70,maksssksksss110-70.png,without_mask,29,43
71,maksssksksss110-71.png,with_mask,59,52
72,maksssksksss110-72.png,without_mask,43,56
73,maksssksksss110-73.png,without_mask,33,37
74,maksssksksss110-74.png,without_mask,20,29
75,maksssksksss110-75.png,without_mask,24,26
76,maksssksksss110-76.png,with_mask,26,29
77,maksssksksss110-77.png,with_mask,34,36
78,maksssksksss110-78.png,without_mask,27,25
79,maksssksksss110-79.png,without_mask,31,31
80,maksssksksss110-80.png,without_mask,21,27
81,maksssksksss110-81.png,without_mask,24,25
82,maksssksksss110-82.png,with_mask,41,40
83,maksssksksss110-83.png,without_mask,34,37
84,maksssksksss110-84.png,with_mask,38,40
85,maksssksksss110-85.png,with_mask,37,36
86,maksssksksss110-86.png,without_mask,25,24
87,maksssksksss110-87.png,without_mask,20,19
88,maksssksksss110-88.png,with_mask,26,29
89,maksssksksss111-89.png,with_mask,20,18
91,maksssksksss111-91.png,with_mask,15,13
92,maksssksksss111-92.png,without_mask,17,10
94,maksssksksss111-94.png,with_mask,23,23
95,maksssksksss111-95.png,with_mask,21,21
96,maksssksksss111-96.png,with_mask,25,23
97,maksssksksss111-97.png,with_mask,22,19
98,maksssksksss111-98.png,with_mask,25,23
99,maksssksksss111-99.png,with_mask,14,14
100,maksssksksss111-100.png,without_mask,20,15
101,maksssksksss112-101.png,mask_incorrectly_worn,47,48
102,maksssksksss113-102.png,with_mask,16,15
103,maksssksksss113-103.png,with_mask,14,11
104,maksssksksss113-104.png,with_mask,15,14
105,maksssksksss113-105.png,without_mask,15,13
106,maksssksksss114-106.png,without_mask,78,71
107,maksssksksss114-107.png,with_mask,83,73
108,maksssksksss115-108.png,with_mask,24,23
109,maksssksksss115-109.png,with_mask,21,24
110,maksssksksss115-110.png,with_mask,21,19
111,maksssksksss115-111.png,with_mask,22,22
112,maksssksksss115-112.png,with_mask,27,26
113,maksssksksss115-113.png,with_mask,23,24
114,maksssksksss115-114.png,with_mask,22,23
115,maksssksksss115-115.png,with_mask,21,11
116,maksssksksss115-116.png,with_mask,19,24
117,maksssksksss116-117.png,with_mask,34,34
118,maksssksksss116-118.png,with_mask,39,33
119,maksssksksss116-119.png,with_mask,44,37
120,maksssksksss116-120.png,with_mask,34,32
121,maksssksksss116-121.png,with_mask,35,20
122,maksssksksss117-122.png,with_mask,122,96
123,maksssksksss118-123.png,with_mask,37,38
124,maksssksksss118-124.png,with_mask,37,38
125,maksssksksss119-125.png,with_mask,28,28
126,maksssksksss119-126.png,with_mask,24,21
127,maksssksksss119-127.png,with_mask,31,26
128,maksssksksss119-128.png,with_mask,13,12
129,maksssksksss119-129.png,with_mask,13,12
130,maksssksksss119-130.png,without_mask,26,28
131,maksssksksss119-131.png,without_mask,22,25
132,maksssksksss12-132.png,with_mask,17,18
133,maksssksksss12-133.png,with_mask,18,18
134,maksssksksss12-134.png,with_mask,20,22
135,maksssksksss12-135.png,with_mask,12,10
136,maksssksksss12-136.png,with_mask,13,12
138,maksssksksss12-138.png,with_mask,20,18
139,maksssksksss12-139.png,with_mask,17,18
140,maksssksksss12-140.png,with_mask,17,17
141,maksssksksss12-141.png,with_mask,17,17
142,maksssksksss12-142.png,without_mask,23,14
143,maksssksksss12-143.png,with_mask,14,11
145,maksssksksss120-145.png,with_mask,151,124
146,maksssksksss121-146.png,without_mask,27,30
147,maksssksksss121-147.png,without_mask,31,30
148,maksssksksss121-148.png,without_mask,27,28
149,maksssksksss121-149.png,without_mask,25,27
150,maksssksksss121-150.png,without_mask,25,28
151,maksssksksss121-151.png,without_mask,23,25
152,maksssksksss121-152.png,without_mask,25,13
153,maksssksksss122-153.png,with_mask,175,144
154,maksssksksss123-154.png,with_mask,118,99
155,maksssksksss123-155.png,with_mask,100,94
156,maksssksksss124-156.png,with_mask,58,52
157,maksssksksss124-157.png,with_mask,56,51
158,maksssksksss124-158.png,with_mask,25,21
159,maksssksksss124-159.png,without_mask,26,19
160,maksssksksss124-160.png,without_mask,37,27
161,maksssksksss125-161.png,without_mask,128,98
162,maksssksksss126-162.png,with_mask,59,52
163,maksssksksss126-163.png,with_mask,26,21
164,maksssksksss126-164.png,without_mask,95,41
165,maksssksksss127-165.png,with_mask,34,32
166,maksssksksss128-166.png,without_mask,112,101
167,maksssksksss129-167.png,without_mask,20,18
168,maksssksksss129-168.png,without_mask,23,19
169,maksssksksss129-169.png,with_mask,29,25
170,maksssksksss13-170.png,with_mask,17,16
171,maksssksksss13-171.png,with_mask,18,16
172,maksssksksss13-172.png,mask_incorrectly_worn,38,32
173,maksssksksss13-173.png,with_mask,21,20
174,maksssksksss13-174.png,with_mask,18,21
175,maksssksksss13-175.png,with_mask,19,12
176,maksssksksss130-176.png,mask_incorrectly_worn,43,39
177,maksssksksss130-177.png,mask_incorrectly_worn,54,46
178,maksssksksss130-178.png,without_mask,46,28
179,maksssksksss130-179.png,without_mask,41,25
180,maksssksksss131-180.png,with_mask,49,45
181,maksssksksss131-181.png,with_mask,45,39
182,maksssksksss131-182.png,without_mask,31,27
183,maksssksksss131-183.png,with_mask,41,37
184,maksssksksss131-184.png,without_mask,42,43
185,maksssksksss131-185.png,with_mask,23,18
186,maksssksksss131-186.png,without_mask,25,20
187,maksssksksss131-187.png,without_mask,20,21
188,maksssksksss132-188.png,mask_incorrectly_worn,110,84
189,maksssksksss133-189.png,with_mask,139,121
190,maksssksksss134-190.png,with_mask,31,25
191,maksssksksss134-191.png,without_mask,26,21
192,maksssksksss134-192.png,with_mask,23,18
193,maksssksksss134-193.png,with_mask,26,22
194,maksssksksss134-194.png,with_mask,19,16
195,maksssksksss134-195.png,without_mask,19,16
196,maksssksksss134-196.png,with_mask,16,16
197,maksssksksss135-197.png,with_mask,68,95
198,maksssksksss135-198.png,with_mask,131,119
199,maksssksksss136-199.png,with_mask,53,52
200,maksssksksss137-200.png,without_mask,18,15
201,maksssksksss137-201.png,without_mask,18,19
202,maksssksksss137-202.png,with_mask,21,17
203,maksssksksss137-203.png,with_mask,20,17
204,maksssksksss137-204.png,without_mask,21,24
205,maksssksksss137-205.png,without_mask,23,27
206,maksssksksss138-206.png,with_mask,95,77
207,maksssksksss138-207.png,with_mask,64,70
208,maksssksksss138-208.png,with_mask,94,85
209,maksssksksss139-209.png,with_mask,18,17
210,maksssksksss139-210.png,with_mask,23,22
211,maksssksksss139-211.png,without_mask,21,21
212,maksssksksss139-212.png,with_mask,32,31
213,maksssksksss139-213.png,with_mask,19,24
214,maksssksksss139-214.png,with_mask,26,23
215,maksssksksss139-215.png,mask_incorrectly_worn,30,23
216,maksssksksss139-216.png,with_mask,31,29
217,maksssksksss139-217.png,with_mask,30,27
218,maksssksksss139-218.png,with_mask,23,27
219,maksssksksss139-219.png,with_mask,25,25
220,maksssksksss139-220.png,with_mask,22,23
221,maksssksksss139-221.png,with_mask,29,30
222,maksssksksss139-222.png,with_mask,22,24
223,maksssksksss139-223.png,with_mask,25,22
224,maksssksksss139-224.png,with_mask,28,28
225,maksssksksss139-225.png,with_mask,14,21
226,maksssksksss139-226.png,with_mask,23,27
227,maksssksksss139-227.png,with_mask,25,30
228,maksssksksss14-228.png,without_mask,127,87
229,maksssksksss140-229.png,with_mask,173,151
230,maksssksksss140-230.png,with_mask,141,126
231,maksssksksss141-231.png,with_mask,59,46
232,maksssksksss141-232.png,with_mask,46,40
233,maksssksksss142-233.png,with_mask,125,100
234,maksssksksss143-234.png,with_mask,133,92
235,maksssksksss144-235.png,with_mask,28,25
236,maksssksksss144-236.png,with_mask,23,20
237,maksssksksss144-237.png,with_mask,20,18
238,maksssksksss145-238.png,mask_incorrectly_worn,22,23
239,maksssksksss145-239.png,mask_incorrectly_worn,20,20
240,maksssksksss145-240.png,without_mask,23,23
241,maksssksksss146-241.png,with_mask,70,65
242,maksssksksss146-242.png,with_mask,63,59
243,maksssksksss147-243.png,without_mask,24,17
244,maksssksksss147-244.png,with_mask,21,20
245,maksssksksss147-245.png,with_mask,20,19
246,maksssksksss147-246.png,with_mask,22,22
247,maksssksksss148-247.png,with_mask,116,80
248,maksssksksss148-248.png,without_mask,62,56
249,maksssksksss148-249.png,without_mask,40,24
250,maksssksksss148-250.png,with_mask,116,96
251,maksssksksss148-251.png,without_mask,79,72
252,maksssksksss148-252.png,with_mask,59,40
253,maksssksksss149-253.png,with_mask,32,33
254,maksssksksss149-254.png,with_mask,33,35
255,maksssksksss149-255.png,with_mask,32,28
256,maksssksksss149-256.png,with_mask,32,26
257,maksssksksss149-257.png,with_mask,29,29
258,maksssksksss149-258.png,with_mask,30,24
259,maksssksksss15-259.png,with_mask,69,66
260,maksssksksss15-260.png,with_mask,36,36
261,maksssksksss150-261.png,with_mask,124,104
269,maksssksksss151-269.png,mask_incorrectly_worn,10,10
270,maksssksksss151-270.png,with_mask,12,10
271,maksssksksss151-271.png,with_mask,13,10
272,maksssksksss152-272.png,with_mask,23,16
273,maksssksksss152-273.png,with_mask,27,23
274,maksssksksss152-274.png,with_mask,26,20
275,maksssksksss152-275.png,with_mask,24,21
276,maksssksksss152-276.png,with_mask,29,23
277,maksssksksss152-277.png,with_mask,22,18
278,maksssksksss152-278.png,with_mask,15,15
279,maksssksksss153-279.png,with_mask,23,23
280,maksssksksss153-280.png,without_mask,23,22
281,maksssksksss154-281.png,without_mask,133,94
282,maksssksksss155-282.png,with_mask,66,64
283,maksssksksss155-283.png,with_mask,87,86
284,maksssksksss155-284.png,with_mask,45,36
285,maksssksksss155-285.png,with_mask,14,11
286,maksssksksss156-286.png,with_mask,26,25
287,maksssksksss156-287.png,with_mask,18,20
